day,depth,distance,gap,hour,id,latitude,longitude,magnitude,minute,month,area,second,significance,time.full,year
14,15,0.23985018,273.6,16,pr16227004,17.728,-67.0207,2.5,14,8,Puerto Rico,12,96,8/14/2016 16:14,2016
15,48,0.48688688,216,2,pr16228002,18.7992,-66.1013,2.5,21,8,Puerto Rico,28,96,8/15/2016 2:21,2016
15,100,0,0,11,ak13846050,61.8113,-152.0498,2.5,4,8,Alaska,47,96,8/15/2016 11:04,2016
16,8.074,0,61,22,us10006ebi,36.4154,-97.3608,2.5,38,8,Oklahoma,53,96,8/16/2016 22:38,2016
17,100,0,0,8,ak13847179,62.9412,-150.1864,2.5,8,8,Alaska,50,96,8/17/2016 8:08,2016
17,5.507,0,50,11,us10006ehi,35.6715,-97.0859,2.5,13,8,Oklahoma,44,97,8/17/2016 11:13,2016
18,10,0.1060012,280.8,6,pr16231010,17.9015,-67.0917,2.5,55,8,Puerto Rico,4,96,8/18/2016 6:55,2016
19,12,0.74111011,316.8,11,pr16232006,19.1615,-64.6727,2.5,58,8,British Virgin Islands,4,96,8/19/2016 11:58,2016
19,50,0,0,17,ak13854924,56.4945,-156.3732,2.5,36,8,Alaska,14,96,8/19/2016 17:36,2016
19,100,0,0,19,ak13855247,63.0838,-152.019,2.5,2,8,Alaska,26,96,8/19/2016 19:02,2016
21,6.52,0.024,53,11,us10006fla,36.4632,-98.6923,2.5,58,8,Oklahoma,46,97,8/21/2016 11:58,2016
21,50,0,0,13,ak13864689,62.833,-148.9752,2.5,48,8,Alaska,23,96,8/21/2016 13:48,2016
21,6.848,0,73,22,us10006fnm,36.452,-98.7753,2.5,53,8,Oklahoma,21,96,8/21/2016 22:53,2016
22,12,0.82645006,306,3,pr16235003,19.1805,-64.8852,2.5,28,8,British Virgin Islands,30,96,8/22/2016 3:28,2016
22,8.8,0,0,20,ak13871437,63.2113,-143.5616,2.5,21,8,Alaska,1,96,8/22/2016 20:21,2016
23,5.074,0,52,19,us10006g71,36.2741,-97.5621,2.5,48,8,Oklahoma,42,96,8/23/2016 19:48,2016
23,5,0,0,21,ak13876239,68.5037,-147.0407,2.5,12,8,Alaska,24,96,8/23/2016 21:12,2016
23,5.474,0,40,22,us10006g7q,36.2717,-97.566,2.5,12,8,Oklahoma,37,96,8/23/2016 22:12,2016
24,11,0.23985018,219.6,3,pr16237002,17.8738,-65.6491,2.5,22,8,Puerto Rico,35,96,8/24/2016 3:22,2016
24,7.028,0,37,7,us10006geg,36.2443,-97.2735,2.5,58,8,Oklahoma,27,96,8/24/2016 7:58,2016
24,92,0.09701805,194.4,13,pr16237004,18.4722,-66.4264,2.5,9,8,Puerto Rico,59,96,8/24/2016 13:09,2016
25,3.82,0.029,79,4,us20006tzp,40.4703,-104.6609,2.5,27,8,Colorado,36,97,8/25/2016 4:27,2016
